Fecha,Categoría,Producto,Unidades,Precio Unitario,Total,Vendedor
18/12/2023,Ropa,Camiseta,2,error,273.48,
02/04/2023,Hogar,Lámpara,5,146.27,731.35,Juan
22/03/2023,Juguetes,Bloques,6,33.72,202.32,Marta
01/07/2023,Juguetes,Coche de juguete,7,107.92,755.44,Ana
05/07/2023,Ropa,Zapatos,6,6.1,36.6,Desconocido
25/06/2023,Juguetes,Muñeca,10,246.38,2463.8,Carlos
24/11/2023,Libros,Cómic,3,279.09,837.27,Juan
02/06/2023,Hogar,Mesa,7,154.81,1083.67,Marta
02/08/2023,Libros,Novela,6,114.84,689.04,Desconocido
07/10/2023,Electrónica,Smartphone,8,35.84,286.72,Juan
02/06/2023,Ropa,Chaqueta,1,198.68,198.68,Ana
05/02/2023,Ropa,Camiseta,4,263.17,1052.68,Juan
17/11/2023,Hogar,Lámpara,7,6.77,47.39,Desconocido
08/02/2023,Ropa,Camiseta,6,160.16,960.96,Ana
12/12/2023,Ropa,Chaqueta,10,253.38,2533.8,Ana
17/10/2023,Ropa,Pantalón,1,227.93,227.93,Juan
22/01/2023,Ropa,Chaqueta,2,278.21,556.42,Juan
09/08/2023,Ropa,Zapatos,8,261.86,2094.88,Luis
05/05/2023,Ropa,Chaqueta,8,270.78,2166.24,Marta
23/01/2023,Hogar,Mesa,9,293.38,2640.42,Luis
05/09/2023,Hogar,Estantería,8,error,548.08,
31/05/2023,Hogar,Estantería,9,222.05,1998.45,Desconocido
30/06/2023,Libros,Biografía,1,180.14,180.14,Desconocido
14/03/2023,Libros,Cómic,10,163.28,1632.8,Carlos
23/04/2023,Ropa,Camiseta,7,105.62,739.34,Marta
07/07/2023,Libros,Biografía,7,203.8,1426.6,Carlos
05/09/2023,Juguetes,Puzzle,1,113.99,113.99,Desconocido
20/08/2023,Libros,Libro técnico,1,255.65,255.65,Luis
03/01/2023,Libros,Cómic,6,100.58,603.48,Juan
25/12/2023,Ropa,Chaqueta,10,144.76,1447.6,Carlos
21/08/2023,Juguetes,Muñeca,8,110.63,885.04,Desconocido
09/06/2023,Hogar,Estantería,6,112.85,677.1,Marta
23/03/2023,Ropa,Chaqueta,6,287.58,1725.48,Marta
07/08/2023,Hogar,Lámpara,1,281.96,281.96,Marta
23/11/2023,Libros,Libro técnico,8,277.58,2220.64,Desconocido
05/05/2023,Ropa,Pantalón,5,96.08,480.4,Juan
28/10/2023,Hogar,Estantería,2,193.73,387.46,Marta
30/04/2023,Libros,Libro técnico,9,271.59,2444.31,Desconocido
06/08/2023,Hogar,Silla,3,43.85,131.55,Luis
21/02/2023,Electrónica,Televisor,7,76.52,535.64,Ana
26/03/2023,Juguetes,Coche de juguete,8,error,95.28,
23/06/2023,Electrónica,Smartphone,3,17.33,51.99,Desconocido
09/11/2023,Libros,Cómic,6,194.42,1166.52,Luis
26/10/2023,Electrónica,Auriculares,9,141.95,1277.55,Desconocido
14/01/2023,Electrónica,Smartphone,7,115.8,810.6,Luis
21/11/2023,Hogar,Silla,8,18.43,147.44,Carlos
06/01/2023,Ropa,Chaqueta,2,219.96,439.92,Carlos
31/08/2023,Juguetes,Bloques,7,133.49,934.43,Ana
26/09/2023,Electrónica,Televisor,10,289.19,2891.9,Ana
02/12/2023,Juguetes,Muñeca,3,7.84,23.52,Juan
21/02/2023,Ropa,Pantalón,10,148.95,1489.5,Desconocido
20/05/2023,Libros,Novela,5,33.54,167.7,Desconocido
03/05/2023,Libros,Novela,7,208.51,1459.57,Juan
20/02/2023,Libros,Biografía,6,128.48,770.88,Luis
19/04/2023,Libros,Novela,10,281.96,2819.6,Juan
14/08/2023,Juguetes,Coche de juguete,9,289.81,2608.29,Carlos
